Δϵ_n,Ω_d,N
0.14311027647635705,0.09,20.0
0.8134927033934982,0.09,20.0
0.7543333442478584,0.09,20.0
0.7026938002704186,0.09,20.0
0.6887298080846672,0.09,20.0
0.6681376247041505,0.09,20.0
0.40736517441156933,0.09,20.0
0.4096227528374952,0.09,20.0
0.5605054879716947,0.09,20.0
0.5288537102658244,0.09,20.0
0.5240236308065288,0.09,20.0
0.4710093468785935,0.09,20.0
0.5158954088393947,0.09,20.0
0.0,0.1,20.0
0.003688389716526852,0.1,20.0
0.9802271908888556,0.1,20.0
0.04148203461341399,0.1,20.0
0.9273089261681626,0.1,20.0
0.9184220407806436,0.1,20.0
0.876476137160684,0.1,20.0
0.1429838436034453,0.1,20.0
0.815357091641786,0.1,20.0
0.7581345349987156,0.1,20.0
0.7046573269204627,0.1,20.0
0.6905912077652017,0.1,20.0
0.669994687022712,0.1,20.0
0.4115239510246994,0.1,20.0
0.412532597214342,0.1,20.0
0.5627852507812237,0.1,20.0
0.5307120164344191,0.1,20.0
0.5236719495438807,0.1,20.0
0.4730100536945456,0.1,20.0
0.5177714877540549,0.1,20.0
0.9942522651588884,0.11,20.0
0.0,0.11,20.0
0.9781212881427046,0.11,20.0
0.03784666890867733,0.11,20.0
0.9239429516305637,0.11,20.0
0.9147503426967961,0.11,20.0
0.8706683814405656,0.11,20.0
0.13708992247988827,0.11,20.0
0.8116634688002939,0.11,20.0
0.7565811202018986,0.11,20.0
0.7010732781838508,0.11,20.0
0.6868942817645853,0.11,20.0
0.6662929671613818,0.11,20.0
0.40787101287099914,0.11,20.0
0.4124835097555276,0.11,20.0
0.5595507285682497,0.11,20.0
0.5270116712917657,0.11,20.0
0.4694670988947601,0.11,20.0
0.5175290210131439,0.11,20.0
0.5140907861841968,0.11,20.0
0.9920046140808538,0.12,20.0
0.0,0.12,20.0
0.9798545556926374,0.12,20.0
0.037904742863929586,0.12,20.0
0.9242960746911801,0.12,20.0
0.9147686240251834,0.12,20.0
0.8683471115068165,0.12,20.0
0.1346744456441214,0.12,20.0
0.8116577372716881,0.12,20.0
0.758918861757856,0.12,20.0
0.7011875565068435,0.12,20.0
0.6868849324744426,0.12,20.0
0.6662783673727211,0.12,20.0
0.4079098408006014,0.12,20.0
0.4164619953265049,0.12,20.0
0.5600478244849953,0.12,20.0
0.5269985771985272,0.12,20.0
0.4696263849469129,0.12,20.0
0.5148407578887035,0.12,20.0
0.5140992065455197,0.12,20.0
0.9895707361822791,0.13,20.0
0.0,0.13,20.0
0.9817386221462658,0.13,20.0
0.03796786676338637,0.13,20.0
0.9246799060779618,0.13,20.0
0.9147884950477077,0.13,20.0
0.8658239214139556,0.13,20.0
0.13204905881134238,0.13,20.0
0.8116515073407947,0.13,20.0
0.7614592160332139,0.13,20.0
0.7013117721911765,0.13,20.0
0.6868747701815968,0.13,20.0
0.6662624979474133,0.13,20.0
0.4079520450960176,0.13,20.0
0.4207776889259822,0.13,20.0
0.5605881496033804,0.13,20.0
0.5269843444443305,0.13,20.0
0.4697995221751476,0.13,20.0
0.5141083591203587,0.13,20.0
0.5119187816516191,0.13,20.0
0.0,0.14,20.0
0.9869528684144024,0.14,20.0
0.9837735072486584,0.14,20.0
0.038036040505365576,0.14,20.0
