ΔE_n,Δ,K,ϵ_1,ϵ_2,N
19.52068674636905,0.0,1.0,0.01,1.0,30.0
29.513715405326835,0.0,1.0,0.01,1.0,30.0
41.509763506973506,0.0,1.0,0.01,1.0,30.0
55.50730649959043,0.0,1.0,0.01,1.0,30.0
71.50567429431787,0.0,1.0,0.01,1.0,30.0
89.5045345903492,0.0,1.0,0.01,1.0,30.0
109.50370721037898,0.0,1.0,0.01,1.0,30.0
131.50308751219345,0.0,1.0,0.01,1.0,30.0
155.50261131367927,0.0,1.0,0.01,1.0,30.0
181.50223746005486,0.0,1.0,0.01,1.0,30.0
209.50193856968937,0.0,1.0,0.01,1.0,30.0
239.5016958477795,0.0,1.0,0.01,1.0,30.0
271.5014960445805,0.0,1.0,0.01,1.0,30.0
305.5013296013792,0.0,1.0,0.01,1.0,30.0
341.5011894801212,0.0,1.0,0.01,1.0,30.0
379.5010705116413,0.0,1.0,0.01,1.0,30.0
419.500968470435,0.0,1.0,0.01,1.0,30.0
461.5009026686862,0.0,1.0,0.01,1.0,30.0
505.50082629439794,0.0,1.0,0.01,1.0,30.0
551.5039139105844,0.0,1.0,0.01,1.0,30.0
599.5039242728654,0.0,1.0,0.01,1.0,30.0
649.743420584992,0.0,1.0,0.01,1.0,30.0
701.7504709566747,0.0,1.0,0.01,1.0,30.0
762.8866843169825,0.0,1.0,0.01,1.0,30.0
819.1292614792934,0.0,1.0,0.01,1.0,30.0
-1.040489936831478,0.0,1.0,0.02,1.0,30.0
-0.9597487936053061,0.0,1.0,0.02,1.0,30.0
1.7952077890472418,0.0,1.0,0.02,1.0,30.0
5.5675695460029075,0.0,1.0,0.02,1.0,30.0
11.53483971941434,0.0,1.0,0.02,1.0,30.0
19.520696974452445,0.0,1.0,0.02,1.0,30.0
29.513722445595253,0.0,1.0,0.02,1.0,30.0
41.50976862811278,0.0,1.0,0.02,1.0,30.0
55.507310384216815,0.0,1.0,0.02,1.0,30.0
71.50567733853639,0.0,1.0,0.02,1.0,30.0
89.50453703856829,0.0,1.0,0.02,1.0,30.0
109.50370922113194,0.0,1.0,0.02,1.0,30.0
131.50308919262062,0.0,1.0,0.02,1.0,30.0
155.5026127387083,0.0,1.0,0.02,1.0,30.0
181.5022386836179,0.0,1.0,0.02,1.0,30.0
209.50193963157443,0.0,1.0,0.02,1.0,30.0
239.50169677797027,0.0,1.0,0.02,1.0,30.0
271.5014968660947,0.0,1.0,0.02,1.0,30.0
305.5013303321752,0.0,1.0,0.02,1.0,30.0
341.5011901344146,0.0,1.0,0.02,1.0,30.0
379.50107110083536,0.0,1.0,0.02,1.0,30.0
419.50096900385864,0.0,1.0,0.02,1.0,30.0
461.50090315480816,0.0,1.0,0.02,1.0,30.0
505.500826749881,0.0,1.0,0.02,1.0,30.0
551.5039144195343,0.0,1.0,0.02,1.0,30.0
599.5039255241136,0.0,1.0,0.02,1.0,30.0
649.7434252632606,0.0,1.0,0.02,1.0,30.0
701.7504932891753,0.0,1.0,0.02,1.0,30.0
762.8867259621036,0.0,1.0,0.02,1.0,30.0
819.1293508206106,0.0,1.0,0.02,1.0,30.0
-1.0608228618590636,0.0,1.0,0.03,1.0,30.0
-0.9397143400034791,0.0,1.0,0.03,1.0,30.0
1.7950868545725123,0.0,1.0,0.03,1.0,30.0
5.567622156450096,0.0,1.0,0.03,1.0,30.0
11.534866303938426,0.0,1.0,0.03,1.0,30.0
19.52071402120347,0.0,1.0,0.03,1.0,30.0
29.513734179346528,0.0,1.0,0.03,1.0,30.0
41.50977716332808,0.0,1.0,0.03,1.0,30.0
55.50731685858446,0.0,1.0,0.03,1.0,30.0
71.50568241222744,0.0,1.0,0.03,1.0,30.0
89.5045411189294,0.0,1.0,0.03,1.0,30.0
109.50371257238393,0.0,1.0,0.03,1.0,30.0
131.50309199333086,0.0,1.0,0.03,1.0,30.0
155.50261511375524,0.0,1.0,0.03,1.0,30.0
181.5022407228883,0.0,1.0,0.03,1.0,30.0
209.50194140138217,0.0,1.0,0.03,1.0,30.0
239.5016983282881,0.0,1.0,0.03,1.0,30.0
271.5014982352847,0.0,1.0,0.03,1.0,30.0
305.50133155016795,0.0,1.0,0.03,1.0,30.0
341.50119122490383,0.0,1.0,0.03,1.0,30.0
379.50107208282566,0.0,1.0,0.03,1.0,30.0
419.50096989289807,0.0,1.0,0.03,1.0,30.0
461.5009039650123,0.0,1.0,0.03,1.0,30.0
505.50082750902004,0.0,1.0,0.03,1.0,30.0
551.503915267788,0.0,1.0,0.03,1.0,30.0
599.5039276095456,0.0,1.0,0.03,1.0,30.0
649.7434330604432,0.0,1.0,0.03,1.0,30.0
701.7505305100593,0.0,1.0,0.03,1.0,30.0
762.8867953706549,0.0,1.0,0.03,1.0,30.0
819.1294997226468,0.0,1.0,0.03,1.0,30.0
-1.0812136184846646,0.0,1.0,0.04,1.0,30.0
-0.9197415524194787,0.0,1.0,0.04,1.0,30.0
1.794917664568679,0.0,1.0,0.04,1.0,30.0
5.567695802270537,0.0,1.0,0.04,1.0,30.0
11.53490352214095,0.0,1.0,0.04,1.0,30.0
19.520737886540346,0.0,1.0,0.04,1.0,30.0
