ΔE_n,ϵ_2,Floquet?
1560.0112554213706,0.15,0.0
1640.0112551567945,0.15,0.0
1722.01125491113,0.15,0.0
1806.0112546826065,0.15,0.0
1892.0112544696772,0.15,0.0
1980.01125427095,0.15,0.0
2070.011254085196,0.15,0.0
2162.0112539112934,0.15,0.0
2256.0112537482682,0.15,0.0
2352.011253595229,0.15,0.0
2450.0112534513823,0.15,0.0
2550.011253315997,0.15,0.0
2652.011253188421,0.15,0.0
2756.011253068068,0.15,0.0
2862.0112529544053,0.15,0.0
2970.0112528469517,0.15,0.0
3080.011252745245,0.15,0.0
3192.0112526488942,0.15,0.0
3306.011252557539,0.15,0.0
3422.011252470824,0.15,0.0
3540.011252388444,0.15,0.0
3660.0112523101166,0.15,0.0
3782.011252235591,0.15,0.0
3906.01125216461,0.15,0.0
4032.0112521705846,0.15,0.0
4160.011252106963,0.15,0.0
4290.011542959539,0.15,0.0
4422.01154683547,0.15,0.0
4556.407584996387,0.15,0.0
4692.413205119078,0.15,0.0
0.0,0.2,0.0
4.095335182086046e-14,0.2,0.0
2.031992677907003,0.2,0.0
6.0228509223048095,0.2,0.0
12.021335524520747,0.2,0.0
20.020781126006373,0.2,0.0
30.020514243848954,0.2,0.0
42.02036470823399,0.2,0.0
56.020272321195186,0.2,0.0
72.0202111822318,0.2,0.0
90.02016859843765,0.2,0.0
110.02013773817039,0.2,0.0
132.0201146533664,0.2,0.0
156.0200969309393,0.2,0.0
182.0200830275434,0.2,0.0
210.0200719183394,0.2,0.0
240.0200629009409,0.2,0.0
272.0200554807861,0.2,0.0
306.0200493014153,0.2,0.0
342.0200441006192,0.2,0.0
380.02003968201285,0.2,0.0
420.0200358961479,0.2,0.0
462.02003262766266,0.2,0.0
506.02002978634806,0.2,0.0
552.020027300843,0.2,0.0
600.0200251140982,0.2,0.0
650.0200231800579,0.2,0.0
702.0200214612153,0.2,0.0
756.0200199267815,0.2,0.0
812.0200185512753,0.2,0.0
870.0200173134767,0.2,0.0
930.0200161955946,0.2,0.0
992.0200151826248,0.2,0.0
1056.0200142618223,0.2,0.0
1122.020013422338,0.2,0.0
1190.020012654877,0.2,0.0
1260.020011951417,0.2,0.0
1332.0200113050366,0.2,0.0
1406.020010709722,0.2,0.0
1482.0200101602343,0.2,0.0
1560.0200096519818,0.2,0.0
1640.0200091809431,0.2,0.0
1722.0200087435705,0.2,0.0
1806.0200083367233,0.2,0.0
1892.0200079576362,0.2,0.0
1980.020007603833,0.2,0.0
2070.0200072731163,0.2,0.0
2162.020006963511,0.2,0.0
2256.02000667327,0.2,0.0
2352.020006400805,0.2,0.0
2450.0200061447026,0.2,0.0
2550.020005903668,0.2,0.0
2652.020005676535,0.2,0.0
2756.0200054622733,0.2,0.0
2862.0200052599102,0.2,0.0
2970.020005068598,0.2,0.0
3080.020004887534,0.2,0.0
3192.0200047159924,0.2,0.0
3306.020004553344,0.2,0.0
3422.0200043989616,0.2,0.0
3540.0200042522956,0.2,0.0
3660.020004112847,0.2,0.0
3782.0200039802476,0.2,0.0
3906.02000385387,0.2,0.0
4032.0200041467306,0.2,0.0
4160.020004036952,0.2,0.0
4290.020921759792,0.2,0.0
4422.020934072939,0.2,0.0
4556.72419449323,0.2,0.0
4692.734180393789,0.2,0.0
0.0,0.25,0.0
3.1489394425321393e-13,0.25,0.0
2.049982113063485,0.25,0.0
6.035699097556424,0.25,0.0
12.033338693324616,0.25,0.0
20.032472185051205,0.25,0.0
30.032054757266923,0.25,0.0
42.03182079877802,0.25,0.0
56.0316762296217,0.25,0.0
72.03158054874207,0.25,0.0
90.03151390195188,0.25,0.0
110.03146560120678,0.25,0.0
132.03142946901977,0.25,0.0
156.03140172932504,0.25,0.0
182.03137996689554,0.25,0.0
210.03136257785158,0.25,0.0
240.03134846291175,0.25,0.0
272.0313368480281,0.25,0.0
306.0313271752887,0.25,0.0
342.03131903428437,0.25,0.0
380.0313121176353,0.25,0.0
420.03130619142064,0.25,0.0
462.03130107506365,0.25,0.0
506.03129662736853,0.25,0.0
552.0312927366331,0.25,0.0
600.0312893135589,0.25,0.0
650.0312862860567,0.25,0.0
702.0312835954145,0.25,0.0
756.0312811934325,0.25,0.0
812.0312790402352,0.25,0.0
870.0312771026023,0.25,0.0
930.031275352678,0.25,0.0
992.0312737669783,0.25,0.0
1056.031272325562,0.25,0.0
1122.0312710114429,0.25,0.0
1190.0312698100565,0.25,0.0
1260.031268708863,0.25,0.0
1332.0312676970182,0.25,0.0
1406.031266765114,0.25,0.0
1482.0312659049462,0.25,0.0
1560.0312651093268,0.25,0.0
1640.0312643719583,0.25,0.0
1722.0312636872952,0.25,0.0
1806.0312630504143,0.25,0.0
1892.0312624569913,0.25,0.0
1980.0312619031417,0.25,0.0
2070.031261385431,0.25,0.0
2162.0312609007847,0.25,0.0
2256.0312604464348,0.25,0.0
2352.031260019919,0.25,0.0
2450.031259619005,0.25,0.0
2550.031259241685,0.25,0.0
2652.0312588861307,0.25,0.0
2756.0312585507218,0.25,0.0
