Δϵ_n,Ω_d,K,ϵ_2,ϵ_2/K,N
0.9798992607138619,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9804051322767473,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9809063721640422,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9814026695089095,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9818937552293372,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9823793969636413,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.982859394549203,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9833335759945926,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9838017938987184,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9842639222744376,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9847198537368502,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.985169497020345,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9856127747907967,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9860496217225918,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9864799828126395,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9869038119053793,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9873210704064935,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9877317261636543,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9881357524953963,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.988533127350928,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9889238325856916,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.989307853337964,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9896851774948947,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9900557952360731,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9904196986450121,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9907768813795003,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9911273383930936,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
0.9914710657006118,0.001,1.6845000000000001e-6,5.0e-7,0.29682398337785687,100.0
