ΔE_n,Δ,K,ϵ_1,ϵ_2,N
691.2699364177745,0.0,0.1,0.04,5.0,50.0
694.4875272267692,0.0,0.1,0.04,5.0,50.0
715.6627631053852,0.0,0.1,0.04,5.0,50.0
718.9091996283549,0.0,0.1,0.04,5.0,50.0
742.2089135204909,0.0,0.1,0.04,5.0,50.0
745.4017917505984,0.0,0.1,0.04,5.0,50.0
771.0020187241671,0.0,0.1,0.04,5.0,50.0
774.0376758168168,0.0,0.1,0.04,5.0,50.0
802.2414758969899,0.0,0.1,0.04,5.0,50.0
804.9716668543836,0.0,0.1,0.04,5.0,50.0
836.363133954645,0.0,0.1,0.04,5.0,50.0
838.5287229298954,0.0,0.1,0.04,5.0,50.0
0.0,0.0,0.1,0.05,5.0,50.0
17.736363541434002,0.0,0.1,0.05,5.0,50.0
110.65609740212,0.0,0.1,0.05,5.0,50.0
126.73290352040175,0.0,0.1,0.05,5.0,50.0
193.3831905454776,0.0,0.1,0.05,5.0,50.0
208.1222524814528,0.0,0.1,0.05,5.0,50.0
260.70575696032853,0.0,0.1,0.05,5.0,50.0
274.27708601763305,0.0,0.1,0.05,5.0,50.0
317.5604977364828,0.0,0.1,0.05,5.0,50.0
330.07487420956915,0.0,0.1,0.05,5.0,50.0
366.55529797368575,0.0,0.1,0.05,5.0,50.0
378.09191702790037,0.0,0.1,0.05,5.0,50.0
409.2841609658639,0.0,0.1,0.05,5.0,50.0
419.9021052173195,0.0,0.1,0.05,5.0,50.0
446.8093413630676,0.0,0.1,0.05,5.0,50.0
456.55297097425336,0.0,0.1,0.05,5.0,50.0
479.8773671395347,0.0,0.1,0.05,5.0,50.0
488.77865297547,0.0,0.1,0.05,5.0,50.0
509.02760832301504,0.0,0.1,0.05,5.0,50.0
517.1062869407655,0.0,0.1,0.05,5.0,50.0
534.6487766901132,0.0,0.1,0.05,5.0,50.0
541.910003410909,0.0,0.1,0.05,5.0,50.0
557.0033800448409,0.0,0.1,0.05,5.0,50.0
563.4307070875693,0.0,0.1,0.05,5.0,50.0
576.22024021011,0.0,0.1,0.05,5.0,50.0
581.7532628673431,0.0,0.1,0.05,5.0,50.0
592.2473021921057,0.0,0.1,0.05,5.0,50.0
596.5255080146651,0.0,0.1,0.05,5.0,50.0
605.3177278672366,0.0,0.1,0.05,5.0,50.0
605.9574754512973,0.0,0.1,0.05,5.0,50.0
616.1591153734614,0.0,0.1,0.05,5.0,50.0
618.3570646902447,0.0,0.1,0.05,5.0,50.0
631.1544338731039,0.0,0.1,0.05,5.0,50.0
633.8559978502358,0.0,0.1,0.05,5.0,50.0
648.9111388042022,0.0,0.1,0.05,5.0,50.0
651.8779807238247,0.0,0.1,0.05,5.0,50.0
668.9929194332431,0.0,0.1,0.05,5.0,50.0
672.1389172812222,0.0,0.1,0.05,5.0,50.0
691.2521967188937,0.0,0.1,0.05,5.0,50.0
694.5054161625919,0.0,0.1,0.05,5.0,50.0
715.6416950457856,0.0,0.1,0.05,5.0,50.0
718.9304139363402,0.0,0.1,0.05,5.0,50.0
742.1835076169375,0.0,0.1,0.05,5.0,50.0
745.4273434994864,0.0,0.1,0.05,5.0,50.0
770.9704754845243,0.0,0.1,0.05,5.0,50.0
774.0693664548294,0.0,0.1,0.05,5.0,50.0
802.2000241284119,0.0,0.1,0.05,5.0,50.0
805.0132693222615,0.0,0.1,0.05,5.0,50.0
836.3007605542687,0.0,0.1,0.05,5.0,50.0
838.5912519333244,0.0,0.1,0.05,5.0,50.0
0.0,0.0,0.1,0.06,5.0,50.0
17.736364120694134,0.0,0.1,0.06,5.0,50.0
110.65609437128529,0.0,0.1,0.06,5.0,50.0
126.73290109667249,0.0,0.1,0.06,5.0,50.0
193.38318468102165,0.0,0.1,0.06,5.0,50.0
208.12224724352467,0.0,0.1,0.06,5.0,50.0
260.70574828481955,0.0,0.1,0.06,5.0,50.0
274.27707798139403,0.0,0.1,0.06,5.0,50.0
