ΔE_n,ϵ_2,Floquet
425.87749304660434,0.26957060156600005,1.0
385.0950257053855,0.26957060156600005,1.0
374.33160268248474,0.26957060156600005,1.0
346.38625289846357,0.26957060156600005,1.0
309.7474326154566,0.26957060156600005,1.0
275.17483869233774,0.26957060156600005,1.0
242.66476074007065,0.26957060156600005,1.0
212.2135040915263,0.26957060156600005,1.0
183.81738977747864,0.26957060156600005,1.0
157.47275455053182,0.26957060156600005,1.0
133.17595099140573,0.26957060156600005,1.0
110.92334776362432,0.26957060156600005,1.0
90.71133014982905,0.26957060156600005,1.0
72.53630115683671,0.26957060156600005,1.0
56.394683856712824,0.26957060156600005,1.0
42.28292667143772,0.26957060156600005,1.0
30.197516541955096,0.26957060156600005,1.0
2.9366299720166738,0.26957060156600005,1.0
20.135016860309133,0.26957060156600005,1.0
12.092203421226246,0.26957060156600005,1.0
6.066762078659701,0.26957060156600005,1.0
2.06721081739673,0.26957060156600005,1.0
0.0020462456016434993,0.26957060156600005,1.0
0.0,0.26957060156600005,1.0
46.201984378241,0.5391412629183144,1.0
2632.807190341199,0.5391412629183144,1.0
153.02002718588767,0.5391412629183144,1.0
2528.1200732496745,0.5391412629183144,1.0
173.29696538910468,0.5391412629183144,1.0
2501.471031143385,0.5391412629183144,1.0
255.67791272335458,0.5391412629183144,1.0
2425.524879842417,0.5391412629183144,1.0
2381.0390949868765,0.5391412629183144,1.0
322.38984645610765,0.5391412629183144,1.0
328.7802175363652,0.5391412629183144,1.0
2325.098169083084,0.5391412629183144,1.0
372.5723370327366,0.5391412629183144,1.0
397.220264615922,0.5391412629183144,1.0
2226.852559345855,0.5391412629183144,1.0
2130.7870781475835,0.5391412629183144,1.0
2036.8981385704765,0.5391412629183144,1.0
1945.1816969420397,0.5391412629183144,1.0
1914.7602110933565,0.5391412629183144,1.0
1855.6336405574375,0.5391412629183144,1.0
1768.249853285263,0.5391412629183144,1.0
1683.0262272691066,0.5391412629183144,1.0
1599.958666030967,0.5391412629183144,1.0
1095.8125435619422,0.5391412629183144,1.0
1519.043086052083,0.5391412629183144,1.0
1504.659835905678,0.5391412629183144,1.0
1440.2754178954535,0.5391412629183144,1.0
1363.6516070578198,0.5391412629183144,1.0
1339.2716037875114,0.5391412629183144,1.0
1289.167614613474,0.5391412629183144,1.0
1216.8194176908485,0.5391412629183144,1.0
1146.603009814563,0.5391412629183144,1.0
1086.7154010575598,0.5391412629183144,1.0
1078.5144011403277,0.5391412629183144,1.0
1012.5496186048782,0.5391412629183144,1.0
948.7047060096133,0.5391412629183144,1.0
886.9757240530187,0.5391412629183144,1.0
1839.5950045566565,0.5391412629183144,1.0
827.3587503239,0.5391412629183144,1.0
769.8498792656725,0.5391412629183144,1.0
714.445222119169,0.5391412629183144,1.0
661.1409068508759,0.5391412629183144,1.0
609.9330780712274,0.5391412629183144,1.0
560.8178969474831,0.5391412629183144,1.0
513.7915411147306,0.5391412629183144,1.0
468.85020458819866,0.5391412629183144,1.0
425.9900976801669,0.5391412629183144,1.0
385.20744692537886,0.5391412629183144,1.0
355.22048050494516,0.5391412629183144,1.0
346.4984950193885,0.5391412629183144,1.0
309.85950077679314,0.5391412629183144,1.0
275.2867391191212,0.5391412629183144,1.0
242.7765011082085,0.5391412629183144,1.0
212.32509405056462,0.5391412629183144,1.0
