E_n,ϵ_2_by_K,N
131.923494269622,0.4,40.0
155.92295625680356,0.4,40.0
181.92253364183443,0.4,40.0
209.92219561951455,0.4,40.0
239.92192102214932,0.4,40.0
271.9216949140474,0.4,40.0
305.9215065120067,0.4,40.0
341.92134787276063,0.4,40.0
379.9212130402777,0.4,40.0
419.92109747754387,0.4,40.0
461.9209976792895,0.4,40.0
505.9209109026667,0.4,40.0
551.9208349765339,0.4,40.0
599.9207681641743,0.4,40.0
649.9207090629918,0.4,40.0
701.9206565302313,0.4,40.0
755.9206096272733,0.4,40.0
811.920567577382,0.4,40.0
869.9205297333257,0.4,40.0
929.9204955524333,0.4,40.0
991.920464588548,0.4,40.0
1055.9204365837852,0.4,40.0
1121.9204239526139,0.4,40.0
1189.9204841781032,0.4,40.0
1259.9278164345374,0.4,40.0
1331.9461060636559,0.4,40.0
1407.4096664930153,0.4,40.0
1484.189466883898,0.4,40.0
-1.196632947841897,0.5,40.0
-0.11028852223898844,0.5,40.0
2.0707977949145002,0.5,40.0
5.9535310442991225,0.5,40.0
11.914576192896261,0.5,40.0
19.898691572041468,0.5,40.0
29.890764890132342,0.5,40.0
41.886246719548616,0.5,40.0
55.88342807054087,0.5,40.0
71.88155141764658,0.5,40.0
89.88023898688043,0.5,40.0
109.87928514660032,0.5,40.0
131.87857013603445,0.5,40.0
155.87802034675897,0.5,40.0
181.87758850445232,0.5,40.0
209.87724311684673,0.5,40.0
239.87696254623168,0.5,40.0
271.8767315265206,0.5,40.0
305.8765390367306,0.5,40.0
341.87637695891095,0.5,40.0
379.87623920635,0.5,40.0
419.87612114268666,0.5,40.0
461.87601918602746,0.5,40.0
505.87593053365885,0.5,40.0
551.8758529671118,0.5,40.0
599.8757847118568,0.5,40.0
649.8757243347902,0.5,40.0
701.8756706683245,0.5,40.0
755.8756227534591,0.5,40.0
811.8755797966071,0.5,40.0
869.8755411365643,0.5,40.0
929.8755062195871,0.5,40.0
991.8754746530109,0.5,40.0
1055.8754464918322,0.5,40.0
1121.875472143949,0.5,40.0
1189.87565723867,0.5,40.0
1259.8939510900166,0.5,40.0
1331.9232291382193,0.5,40.0
1408.227924029457,0.5,40.0
1485.093030019913,0.5,40.0
-1.2236782647627522,0.6,40.0
-0.25850180905492415,0.6,40.0
2.0178437315947093,0.6,40.0
5.9006954570962575,0.6,40.0
11.861039432806752,0.6,40.0
19.844602266133975,0.6,40.0
29.83637680638976,0.6,40.0
41.83168461455914,0.6,40.0
55.82875658686401,0.6,40.0
71.82680689071265,0.6,40.0
89.82544331071531,0.6,40.0
109.82445227483204,0.6,40.0
131.82370937492647,0.6,40.0
155.82313813882655,0.6,40.0
181.82268945043305,0.6,40.0
209.82233058961606,0.6,40.0
239.82203907466587,0.6,40.0
271.82179904389517,0.6,40.0
305.821599046293,0.6,40.0
341.8214306471404,0.6,40.0
379.8212875222183,0.6,40.0
419.8211648542546,0.6,40.0
461.8210589215967,0.6,40.0
505.8209668121783,0.6,40.0
551.8208862209771,0.6,40.0
599.8208153042323,0.6,40.0
649.8207525729358,0.6,40.0
701.8206968139517,0.6,40.0
755.8206470308701,0.6,40.0
811.820602399157,0.6,40.0
869.8205622322073,0.6,40.0
929.8205259571577,0.6,40.0
991.8204934247744,0.6,40.0
1055.8204653778596,0.6,40.0
1121.8205968593184,0.6,40.0
1189.821013396423,0.6,40.0
1259.8592771521812,0.6,40.0
1331.9022834885916,0.6,40.0
1409.2275903070095,0.6,40.0
1486.1840566884139,0.6,40.0
-1.2743848525917223,0.7,40.0
-0.42187399088119026,0.7,40.0
1.9600162688612845,0.7,40.0
5.8387694989885,0.7,40.0
11.798137975452608,0.7,40.0
19.780922390419217,0.7,40.0
29.77226997949261,0.7,40.0
41.76732650426937,0.7,40.0
55.764239472391495,0.7,40.0
71.76218311544498,0.7,40.0
89.76074461105624,0.7,40.0
109.75969896681771,0.7,40.0
131.75891505226193,0.7,40.0
155.7583122352478,0.7,40.0
181.7578387155724,0.7,40.0
209.75745997915436,0.7,40.0
239.75715230868835,0.7,40.0
271.75689896911945,0.7,40.0
305.7566878780162,0.7,40.0
341.75651013502716,0.7,40.0
379.756359066485,0.7,40.0
419.75622958873134,0.7,40.0
461.7561177741836,0.7,40.0
505.75602054955283,0.7,40.0
551.7559354821465,0.7,40.0
599.7558606260413,0.7,40.0
649.7557944096942,0.7,40.0
701.7557355527051,0.7,40.0
755.7556830034093,0.7,40.0
811.7556358915506,0.7,40.0
869.7555934941948,0.7,40.0
929.7555552135196,0.7,40.0
991.7555217237657,0.7,40.0
1055.755494884996,0.7,40.0
1121.755872042391,0.7,40.0
1189.7566756606295,0.7,40.0
1259.827617602716,0.7,40.0
1331.8871324650395,0.7,40.0
1410.4050116912001,0.7,40.0
1487.4583280642341,0.7,40.0
-1.3493969004112831,0.8,40.0
-0.6008085933431528,0.8,40.0
1.898212226167159,0.8,40.0
5.767757778576349,0.8,40.0
11.725903543647213,0.8,40.0
19.70767265607852,0.8,40.0
29.698459080990688,0.8,40.0
41.69318321192117,0.8,40.0
55.689885000129344,0.8,40.0
71.68768660480224,0.8,40.0
89.68614814122597,0.8,40.0
109.68502954587078,0.8,40.0
131.68419078631499,0.8,40.0
155.68354570763663,0.8,40.0
181.68303893936212,0.8,40.0
209.68263357762385,0.8,40.0
239.68230425719614,0.8,40.0
271.6820330771039,0.8,40.0
305.68180711133664,0.8,40.0
341.68161683705745,0.8,40.0
379.6814551131836,0.8,40.0
419.68131649958525,0.8,40.0
461.6811967929987,0.8,40.0
505.6810927042365,0.8,40.0
551.6810016295871,0.8,40.0
599.6809214862417,0.8,40.0
649.6808505920477,0.8,40.0
701.6807875764459,0.8,40.0
755.6807313136975,0.8,40.0
811.6806808722798,0.8,40.0
869.6806354846917,0.8,40.0
929.6805945259833,0.8,40.0
991.6805609632743,0.8,40.0
1055.6805378023116,0.8,40.0
1121.6814180112071,0.8,40.0
1189.6828225844629,0.8,40.0
1259.803274597191,0.8,40.0
1331.8821011205166,0.8,40.0
1411.7560149187948,0.8,40.0
1488.91110282197,0.8,40.0
-1.4492584281551975,0.9,40.0
-0.7957044847155295,0.9,40.0
1.8332054577196268,0.9,40.0
5.687659198998127,0.9,40.0
11.644374134561936,0.9,40.0
19.624877014462967,0.9,40.0
29.61496101733198,0.9,40.0
41.60926720207847,0.9,40.0
55.6057026985021,0.9,40.0
71.60332486173787,0.9,40.0
89.6016599544269,0.9,40.0
109.60044899455288,0.9,40.0
131.5995407477818,0.9,40.0
155.59884209704674,0.9,40.0
181.5982931650323,0.9,40.0
209.59785402804224,0.9,40.0
239.5974972367634,0.9,40.0
271.5972034147344,0.9,40.0
305.59695856781394,0.9,40.0
341.59675238463086,0.9,40.0
379.59657713178404,0.9,40.0
419.5964269172724,0.9,40.0
461.5962971882817,0.9,40.0
505.5961843818136,0.9,40.0
551.5960856772173,0.9,40.0
599.5959988180166,0.9,40.0
649.5959219817054,0.9,40.0
701.5958536833051,0.9,40.0
755.5957927030964,0.9,40.0
811.595738031877,0.9,40.0
869.5956888575901,0.9,40.0
929.5956445295261,0.9,40.0
991.5956135770259,0.9,40.0
1055.5955986932013,0.9,40.0
1121.5974163473982,0.9,40.0
1189.5997026538234,0.9,40.0
1259.7909297948295,0.9,40.0
1331.8918825020585,0.9,40.0
1413.2759807660498,0.9,40.0
1490.5372065007741,0.9,40.0
-1.574376344426461,1.0,40.0
-1.00695044575067,1.0,40.0
1.7656063760618077,1.0,40.0
5.598464454876677,1.0,40.0
11.553594563085188,1.0,40.0
19.532562698891557,1.0,40.0
29.521794943400682,1.0,40.0
41.51559258527529,1.0,40.0
55.51170335323352,1.0,40.0
71.50910638005931,1.0,40.0
89.507286904172,1.0,40.0
109.50596295490705,1.0,40.0
131.50496965991337,1.0,40.0
155.50420541405074,1.0,40.0
181.50360483960176,1.0,40.0
209.50312432431625,1.0,40.0
239.50273387166249,1.0,40.0
271.5024123008864,1.0,40.0
305.5021443111421,1.0,40.0
341.50191862606994,1.0,40.0
379.50172678719605,1.0,40.0
419.5015623492409,1.0,40.0
461.50142033130487,1.0,40.0
505.50129683499944,1.0,40.0
551.5011887739093,1.0,40.0
599.5010936787726,1.0,40.0
649.5010095550979,1.0,40.0
701.5009347776844,1.0,40.0
755.5008680117405,1.0,40.0
811.5008081530375,1.0,40.0
869.500754365526,1.0,40.0
929.5007059717852,1.0,40.0
991.5006836601785,1.0,40.0
1055.5006847639497,1.0,40.0
1121.5041257614757,1.0,40.0
1189.5076494208172,1.0,40.0
1259.795542118939,1.0,40.0
1331.9214403675003,1.0,40.0
1414.9599210746937,1.0,40.0
1492.3311214707185,1.0,40.0
-1.7249963563992694,1.1,40.0
-1.2349206569860698,1.1,40.0
1.6958348855758105,1.1,40.0
5.500153786526473,1.1,40.0
11.453617105033363,1.1,40.0
19.43076026617633,1.1,40.0
29.41898227765635,1.1,40.0
41.41217512329203,1.1,40.0
55.40789900950247,1.1,40.0
71.4050406454184,1.1,40.0
89.40303664478287,1.1,40.0
109.4015777287265,1.1,40.0
131.4004827986694,1.1,40.0
155.3996401388337,1.1,40.0
181.39897781393444,1.1,40.0
209.39844781127832,1.1,40.0
239.39801709389084,1.1,40.0
271.397662326442,1.1,40.0
305.3973666471592,1.1,40.0
341.3971176266252,1.1,40.0
379.3969059397772,1.1,40.0
419.39672447993587,1.1,40.0
461.3965677543728,1.1,40.0
505.3964314636429,1.1,40.0
551.3963122034892,1.1,40.0
599.3962072501405,1.1,40.0
649.3961144033779,1.1,40.0
701.3960318702583,1.1,40.0
755.395958178633,1.1,40.0
811.395892110879,1.1,40.0
869.3958328727307,1.1,40.0
929.3957797374206,1.1,40.0
991.3957778775309,1.1,40.0
1055.3958070215604,1.1,40.0
1121.4018983889823,1.1,40.0
1189.4070968527026,1.1,40.0
1259.8222465169522,1.1,40.0
1331.9759115307447,1.1,40.0
1416.8025564199268,1.1,40.0
1494.2870744107997,1.1,40.0
-1.9011956385715014,1.2,40.0
-1.47997108120974,1.2,40.0
1.62411055303751,1.2,40.0
5.392695038945717,1.2,40.0
11.344502251822659,1.2,40.0
19.319503636035286,1.2,40.0
29.306546718879883,1.2,40.0
41.299032235061055,1.2,40.0
55.29430297437803,1.2,40.0
71.29113813643667,1.2,40.0
89.28891763195844,1.2,40.0
109.28730027786321,1.2,40.0
131.28608599289623,1.2,40.0
155.285151221299,1.2,40.0
181.2844163428084,1.2,40.0
209.2838281847305,1.2,40.0
239.28335014319944,1.2,40.0
271.2829563543103,1.2,40.0
305.28262812386373,1.2,40.0
341.2823516684894,1.2,40.0
